lng,lat
-77.037716,-12.071488
-77.077055,-12.041684
-77.039235,-12.058020
-77.077055,-12.041684
-77.100194,-10.948221
-76.984722,-12.076748
-77.030997,-12.076991
-77.061024,-12.047128
-77.064446,-12.045468
-77.072595,-12.064514
-77.037333,-11.926188
-77.035116,-12.045693
0.000000,0.000000
-77.076718,-11.974461
-71.541504,-16.401136
-77.616083,-11.129197
-77.082148,-12.006685
-77.040997,-12.045575
-77.085881,-12.018849
-76.955795,-12.019743
-77.040955,-11.935218
-77.050379,-11.949760
-77.035116,-12.045693
-77.035116,-12.045693
-76.938313,-12.057265
-70.936272,-17.193502
-77.055215,-11.960089
-77.019074,-11.988305
0.000000,0.000000
-77.050850,-11.945690
-77.035116,-12.045693
-77.775716,-10.728302
-77.075131,-12.058186
-77.029331,-12.076845
-77.269996,-11.562770
-76.991916,-12.080099
-77.025227,-12.164783
-76.867527,-11.696977
-76.938313,-12.057265
0.000000,0.000000
0.000000,0.000000
-76.990596,-12.075233
-77.066593,-12.042062
-77.067705,-12.043200
-77.049847,-12.006481
-77.049847,-12.006481
-77.049847,-12.006481
-77.036537,-12.073492
-77.039235,-12.058020
