index,reclat,reclong
364,0.000000,0.000000
365,0.000000,0.000000
366,-8.385871,-74.565896
367,-8.301676,-74.605781
368,0.000000,0.000000
369,0.000000,0.000000
370,-3.783352,-73.297906
371,0.000000,0.000000
372,-13.785273,-73.616065
373,-13.785273,-73.616065
374,0.000000,0.000000
375,-12.075964,-76.993555
376,-12.082125,-76.997046
377,0.000000,0.000000
378,0.000000,0.000000
379,-12.082125,-76.997046
380,0.000000,0.000000
381,0.000000,0.000000
382,-12.066140,-76.994267
383,0.000000,0.000000
384,-12.190871,-76.991260
385,-12.076876,-76.997757
386,0.000000,0.000000
387,0.000000,0.000000
388,0.000000,0.000000
389,-8.132002,-79.044840
390,-8.132002,-79.044840
391,0.000000,0.000000
392,-8.132002,-79.044840
393,-8.132002,-79.044840
394,0.000000,0.000000
395,0.000000,0.000000
396,-6.003604,-78.064141
397,-6.003604,-78.064141
398,0.000000,0.000000
399,0.000000,0.000000
400,-6.003604,-78.064141
401,-13.637348,-72.878874
402,-13.791000,-72.782300
403,0.000000,0.000000
404,0.000000,0.000000
405,-13.637348,-72.878874
406,-13.791000,-72.782300
407,-14.005858,-73.833658
408,-13.631104,-72.885365
409,0.000000,0.000000
410,-13.627866,-72.875428
411,-12.059116,-77.030657
412,-13.611966,-72.863796
413,-13.635908,-72.884747
414,-12.001725,-77.008411
415,0.000000,0.000000
416,-11.969312,-76.996443
417,-12.023542,-76.996469
418,-12.001725,-77.008411
419,-11.973199,-77.007515
420,-11.978850,-77.005066
421,-12.001725,-77.008411
422,-11.995546,-77.002089
423,0.000000,0.000000
424,-12.015146,-76.986577
425,-12.029991,-77.013911
426,0.000000,0.000000
427,-12.001725,-77.008411
428,-12.001725,-77.008411
429,0.000000,0.000000
430,-12.024639,-76.997190
431,-11.974837,-77.000405
432,-12.001725,-77.008411
433,-11.986180,-77.011555
434,-11.987023,-77.010479
435,-12.021470,-76.990969
436,-12.001725,-77.008411
437,0.000000,0.000000
438,-11.984763,-77.001174
439,-12.013017,-76.978120
440,-12.001725,-77.008411
441,-11.974467,-76.993692
442,-11.972233,-77.004215
443,-12.015624,-77.010085
444,-12.001725,-77.008411
445,0.000000,0.000000
446,0.000000,0.000000
447,-11.976083,-76.992226
448,-11.966549,-77.000024
449,0.000000,0.000000
450,0.000000,0.000000
451,-11.978530,-76.998992
452,-11.921884,-76.958358
453,-12.001725,-77.008411
454,-11.976083,-76.992226
455,-12.001725,-77.008411
456,0.000000,0.000000
457,-12.010008,-77.009640
458,-11.980187,-77.015614
459,-13.315270,-71.595863
460,-13.858100,-73.071874
461,-18.010882,-70.229861
462,-8.113157,-79.029641
463,-13.071825,-75.140173
464,-12.902149,-73.207133
465,-7.961753,-77.586087
466,-16.213287,-69.459157
467,0.000000,0.000000
468,-15.864569,-70.012302
469,-14.033857,-70.821278
470,-15.496136,-70.122292
471,-16.672547,-70.969152
472,-13.795109,-70.474036
473,-15.840758,-70.028391
474,-15.836364,-70.027283
475,0.000000,0.000000
476,-6.769566,-79.849965
477,-6.769566,-79.849965
478,-6.769566,-79.849965
479,-15.053056,-70.275748
480,-15.481093,-70.128745
481,-15.840758,-70.028391
482,-7.150744,-78.523951
483,-15.053842,-70.277015
484,0.000000,0.000000
485,-12.094212,-77.002477
486,0.000000,0.000000
487,-12.103437,-76.989863
488,-12.096452,-76.995690
489,-12.091052,-77.005737
490,0.000000,0.000000
491,-12.091926,-77.000567
492,-12.088993,-77.013989
493,-12.096452,-76.995690
494,0.000000,0.000000
495,0.000000,0.000000
496,-12.082887,-76.997661
497,0.000000,0.000000
498,-12.116800,-76.998228
499,-12.103437,-76.989863
500,0.000000,0.000000
501,-12.086465,-76.984267
502,0.000000,0.000000
503,-12.116800,-76.998228
504,0.000000,0.000000
505,0.000000,0.000000
506,-12.110300,-76.980708
507,-12.103437,-76.989863
508,0.000000,0.000000
509,0.000000,0.000000
510,-12.099242,-76.998367
511,0.000000,0.000000
512,0.000000,0.000000
513,0.000000,0.000000
514,-12.098018,-77.005417
515,-12.089693,-77.004102
516,-12.096452,-76.995690
517,-12.086465,-76.984267
518,-12.112654,-76.995894
519,-12.088993,-77.013989
520,-12.082887,-76.997661
521,0.000000,0.000000
522,0.000000,0.000000
523,-12.096452,-76.995690
524,-12.096452,-76.995690
525,-12.094212,-77.002477
526,0.000000,0.000000
527,-12.093956,-77.002490
528,-12.116800,-76.998228
529,-12.093196,-76.992177
530,-12.093956,-77.002490
531,-12.088993,-77.013989
532,-12.094212,-77.002477
533,0.000000,0.000000
534,-12.111686,-77.008971
535,-12.086465,-76.984267
536,-12.213503,-76.937026
537,-12.213503,-76.937026
538,0.000000,0.000000
539,0.000000,0.000000
540,0.000000,0.000000
541,0.000000,0.000000
542,-12.213503,-76.937026
543,0.000000,0.000000
544,-12.213503,-76.937026
545,-12.213503,-76.937026
546,-12.200320,-76.934965
547,-12.213503,-76.937026
548,-12.213503,-76.937026
549,-12.213503,-76.937026
550,0.000000,0.000000
551,-12.212337,-76.934956
552,-12.213503,-76.937026
553,-12.213503,-76.937026
554,0.000000,0.000000
555,-12.213503,-76.937026
556,-16.399234,-71.534061
557,-16.412640,-71.538596
558,-16.409624,-71.541390
559,-16.405840,-71.540145
560,-17.103078,-71.907048
561,-16.398867,-71.536961
562,-15.726745,-72.111088
563,-17.103078,-71.907048
564,-17.114443,-71.789654
565,0.000000,0.000000
566,-16.402433,-71.549093
567,-16.591930,-72.705022
568,-16.428304,-71.585499
569,-12.892504,-70.002343
570,-16.395349,-71.538066
571,-16.397541,-71.541979
572,-16.406769,-71.539414
573,-16.423103,-71.517433
574,-16.391961,-71.531444
575,-16.434990,-71.529362
576,-16.400923,-71.525436
577,-16.168864,-72.460752
578,-16.398867,-71.536961
